laus_code,state_fips_code,county_fips_code,county_name_state_abbreviation,year,labor_force,employed,unemployed,unemployment_rate
CN1814900000000,18,149,"Starke County, IN",2022,9567,9206,361,3.8     
CN1815100000000,18,151,"Steuben County, IN",2022,20778,20331,447,2.2     
CN1815300000000,18,153,"Sullivan County, IN",2022,8018,7716,302,3.8     
CN1815500000000,18,155,"Switzerland County, IN",2022,4758,4625,133,2.8     
CN1815700000000,18,157,"Tippecanoe County, IN",2022,97885,95116,2769,2.8     
CN1815900000000,18,159,"Tipton County, IN",2022,9011,8756,255,2.8     
CN1816100000000,18,161,"Union County, IN",2022,3600,3512,88,2.4     
CN1816300000000,18,163,"Vanderburgh County, IN",2022,93004,90191,2813,3.0     
CN1816500000000,18,165,"Vermillion County, IN",2022,6604,6365,239,3.6     
CN1816700000000,18,167,"Vigo County, IN",2022,46094,44458,1636,3.5     
CN1816900000000,18,169,"Wabash County, IN",2022,14626,14227,399,2.7     
CN1817100000000,18,171,"Warren County, IN",2022,4129,4023,106,2.6     
CN1817300000000,18,173,"Warrick County, IN",2022,32592,31752,840,2.6     
CN1817500000000,18,175,"Washington County, IN",2022,13839,13471,368,2.7     
CN1817700000000,18,177,"Wayne County, IN",2022,29809,28881,928,3.1     
CN1817900000000,18,179,"Wells County, IN",2022,14353,14022,331,2.3     
CN1818100000000,18,181,"White County, IN",2022,13419,13084,335,2.5     
CN1818300000000,18,183,"Whitley County, IN",2022,17877,17445,432,2.4     
CN1900100000000,19,001,"Adair County, IA",2022,4345,4254,91,2.1     
CN1900300000000,19,003,"Adams County, IA",2022,2131,2089,42,2.0     
CN1900500000000,19,005,"Allamakee County, IA",2022,7128,6859,269,3.8     
CN1900700000000,19,007,"Appanoose County, IA",2022,6072,5898,174,2.9     
CN1900900000000,19,009,"Audubon County, IA",2022,3085,3015,70,2.3     
CN1901100000000,19,011,"Benton County, IA",2022,13187,12792,395,3.0     
CN1901300000000,19,013,"Black Hawk County, IA",2022,68037,66054,1983,2.9     
CN1901500000000,19,015,"Boone County, IA",2022,14924,14586,338,2.3     
CN1901700000000,19,017,"Bremer County, IA",2022,14047,13723,324,2.3     
CN1901900000000,19,019,"Buchanan County, IA",2022,11369,11054,315,2.8     
CN1902100000000,19,021,"Buena Vista County, IA",2022,11802,11527,275,2.3     
CN1902300000000,19,023,"Butler County, IA",2022,8246,8016,230,2.8     
CN1902500000000,19,025,"Calhoun County, IA",2022,4202,4095,107,2.5     
CN1902700000000,19,027,"Carroll County, IA",2022,10832,10619,213,2.0     
CN1902900000000,19,029,"Cass County, IA",2022,6895,6725,170,2.5     
CN1903100000000,19,031,"Cedar County, IA",2022,10572,10292,280,2.6     
CN1903300000000,19,033,"Cerro Gordo County, IA",2022,22469,21847,622,2.8     
CN1903500000000,19,035,"Cherokee County, IA",2022,6166,6026,140,2.3     
CN1903700000000,19,037,"Chickasaw County, IA",2022,6618,6452,166,2.5     
CN1903900000000,19,039,"Clarke County, IA",2022,5010,4864,146,2.9     
CN1904100000000,19,041,"Clay County, IA",2022,8584,8354,230,2.7     
CN1904300000000,19,043,"Clayton County, IA",2022,9625,9257,368,3.8     
CN1904500000000,19,045,"Clinton County, IA",2022,22347,21572,775,3.5     
CN1904700000000,19,047,"Crawford County, IA",2022,7871,7553,318,4.0     
CN1904900000000,19,049,"Dallas County, IA",2022,54305,53221,1084,2.0     
CN1905100000000,19,051,"Davis County, IA",2022,4323,4219,104,2.4     
CN1905300000000,19,053,"Decatur County, IA",2022,4282,4176,106,2.5     
CN1905500000000,19,055,"Delaware County, IA",2022,10571,10328,243,2.3     
CN1905700000000,19,057,"Des Moines County, IA",2022,18322,17556,766,4.2     
CN1905900000000,19,059,"Dickinson County, IA",2022,10722,10423,299,2.8     
CN1906100000000,19,061,"Dubuque County, IA",2022,56523,54920,1603,2.8     
CN1906300000000,19,063,"Emmet County, IA",2022,4952,4810,142,2.9     
CN1906500000000,19,065,"Fayette County, IA",2022,10381,10054,327,3.1     
CN1906700000000,19,067,"Floyd County, IA",2022,8387,8142,245,2.9     
CN1906900000000,19,069,"Franklin County, IA",2022,5651,5507,144,2.5     
CN1907100000000,19,071,"Fremont County, IA",2022,3756,3666,90,2.4     
CN1907300000000,19,073,"Greene County, IA",2022,5415,5304,111,2.0     
CN1907500000000,19,075,"Grundy County, IA",2022,6425,6264,161,2.5     
CN1907700000000,19,077,"Guthrie County, IA",2022,5678,5518,160,2.8     
CN1907900000000,19,079,"Hamilton County, IA",2022,6952,6759,193,2.8     
CN1908100000000,19,081,"Hancock County, IA",2022,5757,5625,132,2.3     
CN1908300000000,19,083,"Hardin County, IA",2022,7887,7654,233,3.0     
CN1908500000000,19,085,"Harrison County, IA",2022,7179,6988,191,2.7     
CN1908700000000,19,087,"Henry County, IA",2022,9540,9263,277,2.9     
CN1908900000000,19,089,"Howard County, IA",2022,5273,5109,164,3.1     
CN1909100000000,19,091,"Humboldt County, IA",2022,4958,4837,121,2.4     
CN1909300000000,19,093,"Ida County, IA",2022,3997,3909,88,2.2     
CN1909500000000,19,095,"Iowa County, IA",2022,9869,9622,247,2.5     
CN1909700000000,19,097,"Jackson County, IA",2022,10745,10401,344,3.2     
CN1909900000000,19,099,"Jasper County, IA",2022,18747,18184,563,3.0     
CN1910100000000,19,101,"Jefferson County, IA",2022,10042,9794,248,2.5     
CN1910300000000,19,103,"Johnson County, IA",2022,86913,84948,1965,2.3     
CN1910500000000,19,105,"Jones County, IA",2022,10453,10120,333,3.2     
CN1910700000000,19,107,"Keokuk County, IA",2022,5231,5073,158,3.0     
CN1910900000000,19,109,"Kossuth County, IA",2022,8354,8163,191,2.3     
CN1911100000000,19,111,"Lee County, IA",2022,14957,14293,664,4.4     
CN1911300000000,19,113,"Linn County, IA",2022,121518,117808,3710,3.1     
CN1911500000000,19,115,"Louisa County, IA",2022,5931,5748,183,3.1     
CN1911700000000,19,117,"Lucas County, IA",2022,4667,4567,100,2.1     
CN1911900000000,19,119,"Lyon County, IA",2022,7099,6970,129,1.8     
CN1912100000000,19,121,"Madison County, IA",2022,8824,8549,275,3.1     
CN1912300000000,19,123,"Mahaska County, IA",2022,12287,11988,299,2.4     
CN1912500000000,19,125,"Marion County, IA",2022,19311,18913,398,2.1     
CN1912700000000,19,127,"Marshall County, IA",2022,17474,16556,918,5.3     
CN1912900000000,19,129,"Mills County, IA",2022,7157,6992,165,2.3     
CN1913100000000,19,131,"Mitchell County, IA",2022,5904,5783,121,2.0     
CN1913300000000,19,133,"Monona County, IA",2022,4434,4307,127,2.9     
CN1913500000000,19,135,"Monroe County, IA",2022,4051,3937,114,2.8     
CN1913700000000,19,137,"Montgomery County, IA",2022,5002,4879,123,2.5     
CN1913900000000,19,139,"Muscatine County, IA",2022,21178,20551,627,3.0     
CN1914100000000,19,141,"O'Brien County, IA",2022,8196,8020,176,2.1     
CN1914300000000,19,143,"Osceola County, IA",2022,3646,3582,64,1.8     
CN1914500000000,19,145,"Page County, IA",2022,6513,6354,159,2.4     
CN1914700000000,19,147,"Palo Alto County, IA",2022,4530,4416,114,2.5     
CN1914900000000,19,149,"Plymouth County, IA",2022,14897,14586,311,2.1     
CN1915100000000,19,151,"Pocahontas County, IA",2022,4317,4225,92,2.1     
CN1915300000000,19,153,"Polk County, IA",2022,278130,270658,7472,2.7     
CN1915500000000,19,155,"Pottawattamie County, IA",2022,48033,46712,1321,2.8     
CN1915700000000,19,157,"Poweshiek County, IA",2022,10331,10048,283,2.7     
CN1915900000000,19,159,"Ringgold County, IA",2022,2377,2323,54,2.3     
CN1916100000000,19,161,"Sac County, IA",2022,5300,5172,128,2.4     
CN1916300000000,19,163,"Scott County, IA",2022,89009,86166,2843,3.2     
CN1916500000000,19,165,"Shelby County, IA",2022,6482,6337,145,2.2     
CN1916700000000,19,167,"Sioux County, IA",2022,22514,22094,420,1.9     
CN1916900000000,19,169,"Story County, IA",2022,59683,58481,1202,2.0     
CN1917100000000,19,171,"Tama County, IA",2022,9238,8935,303,3.3     
CN1917300000000,19,173,"Taylor County, IA",2022,3164,3102,62,2.0     
CN1917500000000,19,175,"Union County, IA",2022,6139,5971,168,2.7     
CN1917700000000,19,177,"Van Buren County, IA",2022,3710,3606,104,2.8     
CN1917900000000,19,179,"Wapello County, IA",2022,16964,16414,550,3.2     
CN1918100000000,19,181,"Warren County, IA",2022,29503,28787,716,2.4     
CN1918300000000,19,183,"Washington County, IA",2022,11785,11480,305,2.6     
CN1918500000000,19,185,"Wayne County, IA",2022,2945,2870,75,2.5     
CN1918700000000,19,187,"Webster County, IA",2022,18954,18391,563,3.0     
CN1918900000000,19,189,"Winnebago County, IA",2022,5045,4910,135,2.7     
CN1919100000000,19,191,"Winneshiek County, IA",2022,11524,11164,360,3.1     
CN1919300000000,19,193,"Woodbury County, IA",2022,56374,54832,1542,2.7     
CN1919500000000,19,195,"Worth County, IA",2022,4029,3921,108,2.7     
CN1919700000000,19,197,"Wright County, IA",2022,6627,6457,170,2.6     
CN2000100000000,20,001,"Allen County, KS",2022,6312,6130,182,2.9     
CN2000300000000,20,003,"Anderson County, KS",2022,4356,4257,99,2.3     
CN2000500000000,20,005,"Atchison County, KS",2022,6789,6552,237,3.5     
CN2000700000000,20,007,"Barber County, KS",2022,2276,2229,47,2.1     
CN2000900000000,20,009,"Barton County, KS",2022,13133,12788,345,2.6     
CN2001100000000,20,011,"Bourbon County, KS",2022,6275,6057,218,3.5     
CN2001300000000,20,013,"Brown County, KS",2022,5089,4969,120,2.4     
CN2001500000000,20,015,"Butler County, KS",2022,32766,31856,910,2.8     
CN2001700000000,20,017,"Chase County, KS",2022,1392,1362,30,2.2     
CN2001900000000,20,019,"Chautauqua County, KS",2022,1431,1391,40,2.8     
CN2002100000000,20,021,"Cherokee County, KS",2022,9881,9622,259,2.6     
CN2002300000000,20,023,"Cheyenne County, KS",2022,1259,1229,30,2.4     
CN2002500000000,20,025,"Clark County, KS",2022,1110,1088,22,2.0     
CN2002700000000,20,027,"Clay County, KS",2022,3744,3646,98,2.6     
CN2002900000000,20,029,"Cloud County, KS",2022,3832,3729,103,2.7     
CN2003100000000,20,031,"Coffey County, KS",2022,3783,3652,131,3.5     
CN2003300000000,20,033,"Comanche County, KS",2022,869,850,19,2.2     
CN2003500000000,20,035,"Cowley County, KS",2022,16444,15958,486,3.0     
CN2003700000000,20,037,"Crawford County, KS",2022,19088,18533,555,2.9     
CN2003900000000,20,039,"Decatur County, KS",2022,1180,1146,34,2.9     
CN2004100000000,20,041,"Dickinson County, KS",2022,8647,8406,241,2.8     
CN2004300000000,20,043,"Doniphan County, KS",2022,4030,3926,104,2.6     
CN2004500000000,20,045,"Douglas County, KS",2022,66297,64587,1710,2.6     
CN2004700000000,20,047,"Edwards County, KS",2022,1392,1360,32,2.3     
CN2004900000000,20,049,"Elk County, KS",2022,1174,1142,32,2.7     
CN2005100000000,20,051,"Ellis County, KS",2022,17032,16695,337,2.0     
CN2005300000000,20,053,"Ellsworth County, KS",2022,2630,2569,61,2.3     
CN2005500000000,20,055,"Finney County, KS",2022,20483,20058,425,2.1     
CN2005700000000,20,057,"Ford County, KS",2022,17851,17479,372,2.1     
CN2005900000000,20,059,"Franklin County, KS",2022,14872,14509,363,2.4     
CN2006100000000,20,061,"Geary County, KS",2022,11358,10931,427,3.8     
CN2006300000000,20,063,"Gove County, KS",2022,1370,1341,29,2.1     
CN2006500000000,20,065,"Graham County, KS",2022,1191,1163,28,2.4     
CN2006700000000,20,067,"Grant County, KS",2022,2820,2738,82,2.9     
CN2006900000000,20,069,"Gray County, KS",2022,3154,3092,62,2.0     
CN2007100000000,20,071,"Greeley County, KS",2022,794,782,12,1.5     
CN2007300000000,20,073,"Greenwood County, KS",2022,3026,2953,73,2.4     
CN2007500000000,20,075,"Hamilton County, KS",2022,1628,1601,27,1.7     
CN2007700000000,20,077,"Harper County, KS",2022,2783,2724,59,2.1     
CN2007900000000,20,079,"Harvey County, KS",2022,17120,16687,433,2.5     
CN2008100000000,20,081,"Haskell County, KS",2022,2182,2140,42,1.9     
CN2008300000000,20,083,"Hodgeman County, KS",2022,1028,1007,21,2.0     
CN2008500000000,20,085,"Jackson County, KS",2022,7286,7115,171,2.3     
CN2008700000000,20,087,"Jefferson County, KS",2022,10381,10103,278,2.7     
CN2008900000000,20,089,"Jewell County, KS",2022,1188,1157,31,2.6     
CN2009100000000,20,091,"Johnson County, KS",2022,349503,341465,8038,2.3     
CN2009300000000,20,093,"Kearny County, KS",2022,2007,1969,38,1.9     
CN2009500000000,20,095,"Kingman County, KS",2022,3277,3197,80,2.4     
CN2009700000000,20,097,"Kiowa County, KS",2022,1213,1186,27,2.2     
CN2009900000000,20,099,"Labette County, KS",2022,9413,9126,287,3.0     
CN2010100000000,20,101,"Lane County, KS",2022,730,709,21,2.9     
CN2010300000000,20,103,"Leavenworth County, KS",2022,37454,36366,1088,2.9     
CN2010500000000,20,105,"Lincoln County, KS",2022,1693,1653,40,2.4     
CN2010700000000,20,107,"Linn County, KS",2022,4373,4203,170,3.9     
CN2010900000000,20,109,"Logan County, KS",2022,1607,1577,30,1.9     
CN2011100000000,20,111,"Lyon County, KS",2022,17028,16598,430,2.5     
CN2011300000000,20,113,"McPherson County, KS",2022,17375,17041,334,1.9     
CN2011500000000,20,115,"Marion County, KS",2022,5963,5818,145,2.4     
CN2011700000000,20,117,"Marshall County, KS",2022,5315,5209,106,2.0     
CN2011900000000,20,119,"Meade County, KS",2022,2116,2076,40,1.9     
CN2012100000000,20,121,"Miami County, KS",2022,18037,17576,461,2.6     
CN2012300000000,20,123,"Mitchell County, KS",2022,3359,3293,66,2.0     
CN2012500000000,20,125,"Montgomery County, KS",2022,14631,14181,450,3.1     
CN2012700000000,20,127,"Morris County, KS",2022,3037,2967,70,2.3     
CN2012900000000,20,129,"Morton County, KS",2022,1121,1091,30,2.7     
CN2013100000000,20,131,"Nemaha County, KS",2022,5611,5508,103,1.8     
CN2013300000000,20,133,"Neosho County, KS",2022,6036,5819,217,3.6     
CN2013500000000,20,135,"Ness County, KS",2022,1327,1298,29,2.2     
CN2013700000000,20,137,"Norton County, KS",2022,2617,2567,50,1.9     
CN2013900000000,20,139,"Osage County, KS",2022,8033,7808,225,2.8     
CN2014100000000,20,141,"Osborne County, KS",2022,1904,1865,39,2.0     
CN2014300000000,20,143,"Ottawa County, KS",2022,3012,2936,76,2.5     
CN2014500000000,20,145,"Pawnee County, KS",2022,2706,2641,65,2.4     
CN2014700000000,20,147,"Phillips County, KS",2022,2656,2597,59,2.2     
CN2014900000000,20,149,"Pottawatomie County, KS",2022,12519,12216,303,2.4     
CN2015100000000,20,151,"Pratt County, KS",2022,4903,4798,105,2.1     
CN2015300000000,20,153,"Rawlins County, KS",2022,1529,1501,28,1.8     
CN2015500000000,20,155,"Reno County, KS",2022,29232,28406,826,2.8     
CN2015700000000,20,157,"Republic County, KS",2022,2383,2333,50,2.1     
CN2015900000000,20,159,"Rice County, KS",2022,5335,5212,123,2.3     
CN2016100000000,20,161,"Riley County, KS",2022,34620,33691,929,2.7     
CN2016300000000,20,163,"Rooks County, KS",2022,2408,2345,63,2.6     
CN2016500000000,20,165,"Rush County, KS",2022,1616,1580,36,2.2     
CN2016700000000,20,167,"Russell County, KS",2022,3295,3220,75,2.3     
CN2016900000000,20,169,"Saline County, KS",2022,30214,29483,731,2.4     
CN2017100000000,20,171,"Scott County, KS",2022,2737,2687,50,1.8     
CN2017300000000,20,173,"Sedgwick County, KS",2022,255813,247806,8007,3.1     
CN2017500000000,20,175,"Seward County, KS",2022,9811,9560,251,2.6     
CN2017700000000,20,177,"Shawnee County, KS",2022,91886,89363,2523,2.7     
CN2017900000000,20,179,"Sheridan County, KS",2022,1455,1427,28,1.9     
CN2018100000000,20,181,"Sherman County, KS",2022,2790,2726,64,2.3     
CN2018300000000,20,183,"Smith County, KS",2022,1953,1913,40,2.0     
CN2018500000000,20,185,"Stafford County, KS",2022,1914,1869,45,2.4     
CN2018700000000,20,187,"Stanton County, KS",2022,1099,1078,21,1.9     
CN2018900000000,20,189,"Stevens County, KS",2022,2964,2906,58,2.0     
CN2019100000000,20,191,"Sumner County, KS",2022,10777,10456,321,3.0     
CN2019300000000,20,193,"Thomas County, KS",2022,4247,4165,82,1.9     
CN2019500000000,20,195,"Trego County, KS",2022,1358,1325,33,2.4     
CN2019700000000,20,197,"Wabaunsee County, KS",2022,3737,3645,92,2.5     
CN2019900000000,20,199,"Wallace County, KS",2022,852,835,17,2.0     
CN2020100000000,20,201,"Washington County, KS",2022,3002,2943,59,2.0     
CN2020300000000,20,203,"Wichita County, KS",2022,1146,1123,23,2.0     
CN2020500000000,20,205,"Wilson County, KS",2022,3723,3606,117,3.1     
CN2020700000000,20,207,"Woodson County, KS",2022,1539,1485,54,3.5     
CN2020900000000,20,209,"Wyandotte County, KS",2022,78206,75487,2719,3.5     
CN2100100000000,21,001,"Adair County, KY",2022,7195,6868,327,4.5     
CN2100300000000,21,003,"Allen County, KY",2022,8963,8618,345,3.8     
CN2100500000000,21,005,"Anderson County, KY",2022,11994,11615,379,3.2     
CN2100700000000,21,007,"Ballard County, KY",2022,3489,3320,169,4.8     
CN2100900000000,21,009,"Barren County, KY",2022,17883,17152,731,4.1     
CN2101100000000,21,011,"Bath County, KY",2022,4761,4515,246,5.2     
CN2101300000000,21,013,"Bell County, KY",2022,8147,7737,410,5.0     
CN2101500000000,21,015,"Boone County, KY",2022,72572,70299,2273,3.1     
CN2101700000000,21,017,"Bourbon County, KY",2022,9633,9296,337,3.5     
CN2101900000000,21,019,"Boyd County, KY",2022,17205,16323,882,5.1     
CN2102100000000,21,021,"Boyle County, KY",2022,12774,12273,501,3.9     
CN2102300000000,21,023,"Bracken County, KY",2022,3810,3648,162,4.3     
CN2102500000000,21,025,"Breathitt County, KY",2022,3206,2971,235,7.3     
CN2102700000000,21,027,"Breckinridge County, KY",2022,7975,7611,364,4.6     
CN2102900000000,21,029,"Bullitt County, KY",2022,43128,41390,1738,4.0     
CN2103100000000,21,031,"Butler County, KY",2022,4996,4791,205,4.1     
CN2103300000000,21,033,"Caldwell County, KY",2022,6119,5911,208,3.4     
CN2103500000000,21,035,"Calloway County, KY",2022,17426,16734,692,4.0     
CN2103700000000,21,037,"Campbell County, KY",2022,50998,49302,1696,3.3     
CN2103900000000,21,039,"Carlisle County, KY",2022,2263,2179,84,3.7     
CN2104100000000,21,041,"Carroll County, KY",2022,5715,5535,180,3.1     
CN2104300000000,21,043,"Carter County, KY",2022,9695,9012,683,7.0     
CN2104500000000,21,045,"Casey County, KY",2022,6682,6432,250,3.7     
CN2104700000000,21,047,"Christian County, KY",2022,24874,23683,1191,4.8     
CN2104900000000,21,049,"Clark County, KY",2022,17293,16679,614,3.6     
CN2105100000000,21,051,"Clay County, KY",2022,5083,4797,286,5.6     
CN2105300000000,21,053,"Clinton County, KY",2022,3642,3466,176,4.8     
CN2105500000000,21,055,"Crittenden County, KY",2022,3832,3674,158,4.1     
CN2105700000000,21,057,"Cumberland County, KY",2022,3394,3286,108,3.2     
CN2105900000000,21,059,"Daviess County, KY",2022,46047,44268,1779,3.9     
CN2106100000000,21,061,"Edmonson County, KY",2022,4738,4510,228,4.8     
CN2106300000000,21,063,"Elliott County, KY",2022,1893,1741,152,8.0     
CN2106500000000,21,065,"Estill County, KY",2022,5189,4940,249,4.8     
CN2106700000000,21,067,"Fayette County, KY",2022,175935,170528,5407,3.1     
CN2106900000000,21,069,"Fleming County, KY",2022,6085,5816,269,4.4     
CN2107100000000,21,071,"Floyd County, KY",2022,10907,10273,634,5.8     
CN2107300000000,21,073,"Franklin County, KY",2022,25148,24302,846,3.4     
CN2107500000000,21,075,"Fulton County, KY",2022,2116,2021,95,4.5     
CN2107700000000,21,077,"Gallatin County, KY",2022,4030,3886,144,3.6     
CN2107900000000,21,079,"Garrard County, KY",2022,7910,7608,302,3.8     
CN2108100000000,21,081,"Grant County, KY",2022,11765,11324,441,3.7     
CN2108300000000,21,083,"Graves County, KY",2022,15602,14897,705,4.5     
CN2108500000000,21,085,"Grayson County, KY",2022,10465,9988,477,4.6     
CN2108700000000,21,087,"Green County, KY",2022,5078,4890,188,3.7     
CN2108900000000,21,089,"Greenup County, KY",2022,12952,12201,751,5.8     
CN2109100000000,21,091,"Hancock County, KY",2022,3840,3678,162,4.2     
CN2109300000000,21,093,"Hardin County, KY",2022,47147,45219,1928,4.1     
CN2109500000000,21,095,"Harlan County, KY",2022,6386,5986,400,6.3     
CN2109700000000,21,097,"Harrison County, KY",2022,8829,8541,288,3.3     
CN2109900000000,21,099,"Hart County, KY",2022,7683,7381,302,3.9     
CN2110100000000,21,101,"Henderson County, KY",2022,20759,19976,783,3.8     
CN2110300000000,21,103,"Henry County, KY",2022,8161,7869,292,3.6     
CN2110500000000,21,105,"Hickman County, KY",2022,1658,1587,71,4.3     
CN2110700000000,21,107,"Hopkins County, KY",2022,18259,17464,795,4.4     
CN2110900000000,21,109,"Jackson County, KY",2022,4142,3908,234,5.6     
CN2111100000000,21,111,"Jefferson County, KY",2022,395552,380623,14929,3.8     
CN2111300000000,21,113,"Jessamine County, KY",2022,26635,25773,862,3.2     
CN2111500000000,21,115,"Johnson County, KY",2022,6646,6254,392,5.9     
CN2111700000000,21,117,"Kenton County, KY",2022,88273,85346,2927,3.3     
CN2111900000000,21,119,"Knott County, KY",2022,4272,4012,260,6.1     
CN2112100000000,21,121,"Knox County, KY",2022,9930,9402,528,5.3     
CN2112300000000,21,123,"Larue County, KY",2022,5774,5520,254,4.4     
CN2112500000000,21,125,"Laurel County, KY",2022,25098,24053,1045,4.2     
CN2112700000000,21,127,"Lawrence County, KY",2022,5615,5316,299,5.3     
CN2112900000000,21,129,"Lee County, KY",2022,2081,1968,113,5.4     
CN2113100000000,21,131,"Leslie County, KY",2022,2518,2353,165,6.6     
CN2113300000000,21,133,"Letcher County, KY",2022,5916,5555,361,6.1     
CN2113500000000,21,135,"Lewis County, KY",2022,4586,4257,329,7.2     
CN2113700000000,21,137,"Lincoln County, KY",2022,9376,8932,444,4.7     
CN2113900000000,21,139,"Livingston County, KY",2022,3650,3476,174,4.8     
CN2114100000000,21,141,"Logan County, KY",2022,12390,11958,432,3.5     
CN2114300000000,21,143,"Lyon County, KY",2022,3207,3072,135,4.2     
CN2114500000000,21,145,"McCracken County, KY",2022,29928,28728,1200,4.0     
CN2114700000000,21,147,"McCreary County, KY",2022,4719,4475,244,5.2     
CN2114900000000,21,149,"McLean County, KY",2022,3995,3819,176,4.4     
CN2115100000000,21,151,"Madison County, KY",2022,46866,45179,1687,3.6     
CN2115300000000,21,153,"Magoffin County, KY",2022,3186,2850,336,10.5     
CN2115500000000,21,155,"Marion County, KY",2022,9353,9040,313,3.3     
CN2115700000000,21,157,"Marshall County, KY",2022,14588,13995,593,4.1     
CN2115900000000,21,159,"Martin County, KY",2022,2219,2056,163,7.3     
CN2116100000000,21,161,"Mason County, KY",2022,6590,6273,317,4.8     
CN2116300000000,21,163,"Meade County, KY",2022,11648,11133,515,4.4     
CN2116500000000,21,165,"Menifee County, KY",2022,2394,2259,135,5.6     
CN2116700000000,21,167,"Mercer County, KY",2022,10088,9714,374,3.7     
CN2116900000000,21,169,"Metcalfe County, KY",2022,3921,3745,176,4.5     
CN2117100000000,21,171,"Monroe County, KY",2022,4618,4465,153,3.3     
CN2117300000000,21,173,"Montgomery County, KY",2022,12003,11466,537,4.5     
CN2117500000000,21,175,"Morgan County, KY",2022,4142,3924,218,5.3     
CN2117700000000,21,177,"Muhlenberg County, KY",2022,9853,9293,560,5.7     
CN2117900000000,21,179,"Nelson County, KY",2022,23678,22784,894,3.8     
CN2118100000000,21,181,"Nicholas County, KY",2022,3296,3162,134,4.1     
CN2118300000000,21,183,"Ohio County, KY",2022,9108,8662,446,4.9     
CN2118500000000,21,185,"Oldham County, KY",2022,33401,32311,1090,3.3     
CN2118700000000,21,187,"Owen County, KY",2022,5230,5054,176,3.4     
CN2118900000000,21,189,"Owsley County, KY",2022,1075,1001,74,6.9     
CN2119100000000,21,191,"Pendleton County, KY",2022,6969,6724,245,3.5     
CN2119300000000,21,193,"Perry County, KY",2022,7991,7590,401,5.0     
CN2119500000000,21,195,"Pike County, KY",2022,18976,17998,978,5.2     
CN2119700000000,21,197,"Powell County, KY",2022,5265,5048,217,4.1     
CN2119900000000,21,199,"Pulaski County, KY",2022,25396,24245,1151,4.5     
CN2120100000000,21,201,"Robertson County, KY",2022,820,779,41,5.0     
CN2120300000000,21,203,"Rockcastle County, KY",2022,6492,6193,299,4.6     
CN2120500000000,21,205,"Rowan County, KY",2022,10223,9755,468,4.6     
CN2120700000000,21,207,"Russell County, KY",2022,6263,5956,307,4.9     
CN2120900000000,21,209,"Scott County, KY",2022,30403,29484,919,3.0     
CN2121100000000,21,211,"Shelby County, KY",2022,25955,25070,885,3.4     
CN2121300000000,21,213,"Simpson County, KY",2022,8799,8498,301,3.4     
CN2121500000000,21,215,"Spencer County, KY",2022,10626,10209,417,3.9     
CN2121700000000,21,217,"Taylor County, KY",2022,12268,11816,452,3.7     
CN2121900000000,21,219,"Todd County, KY",2022,5712,5529,183,3.2     
CN2122100000000,21,221,"Trigg County, KY",2022,6078,5805,273,4.5     
CN2122300000000,21,223,"Trimble County, KY",2022,3845,3678,167,4.3     
CN2122500000000,21,225,"Union County, KY",2022,5851,5601,250,4.3     
CN2122700000000,21,227,"Warren County, KY",2022,65603,63266,2337,3.6     
CN2122900000000,21,229,"Washington County, KY",2022,6148,5936,212,3.4     
CN2123100000000,21,231,"Wayne County, KY",2022,7078,6727,351,5.0     
CN2123300000000,21,233,"Webster County, KY",2022,5235,5030,205,3.9     
CN2123500000000,21,235,"Whitley County, KY",2022,13904,13295,609,4.4     
CN2123700000000,21,237,"Wolfe County, KY",2022,2248,2123,125,5.6     
CN2123900000000,21,239,"Woodford County, KY",2022,15041,14596,445,3.0     
CN2200100000000,22,001,"Acadia Parish, LA",2022,23943,23069,874,3.7     
CN2200300000000,22,003,"Allen Parish, LA",2022,8128,7789,339,4.2     
CN2200500000000,22,005,"Ascension Parish, LA",2022,67286,65300,1986,3.0     
CN2200700000000,22,007,"Assumption Parish, LA",2022,8848,8442,406,4.6     
CN2200900000000,22,009,"Avoyelles Parish, LA",2022,14428,13827,601,4.2     
CN2201100000000,22,011,"Beauregard Parish, LA",2022,14859,14360,499,3.4     
CN2201300000000,22,013,"Bienville Parish, LA",2022,5248,5030,218,4.2     
CN2201500000000,22,015,"Bossier Parish, LA",2022,58245,56495,1750,3.0     
CN2201700000000,22,017,"Caddo Parish, LA",2022,102126,97955,4171,4.1     
CN2201900000000,22,019,"Calcasieu Parish, LA",2022,92883,89629,3254,3.5     
CN2202100000000,22,021,"Caldwell Parish, LA",2022,3694,3553,141,3.8     
CN2202300000000,22,023,"Cameron Parish, LA",2022,3448,3351,97,2.8     
CN2202500000000,22,025,"Catahoula Parish, LA",2022,3452,3310,142,4.1     
CN2202700000000,22,027,"Claiborne Parish, LA",2022,5448,5240,208,3.8     
CN2202900000000,22,029,"Concordia Parish, LA",2022,7007,6683,324,4.6     
CN2203100000000,22,031,"De Soto Parish, LA",2022,10953,10534,419,3.8     
CN2203300000000,22,033,"East Baton Rouge Parish, LA",2022,234834,226718,8116,3.5     
CN2203500000000,22,035,"East Carroll Parish, LA",2022,1641,1512,129,7.9     
CN2203700000000,22,037,"East Feliciana Parish, LA",2022,7933,7683,250,3.2     
CN2203900000000,22,039,"Evangeline Parish, LA",2022,12048,11554,494,4.1     
CN2204100000000,22,041,"Franklin Parish, LA",2022,7448,7092,356,4.8     
CN2204300000000,22,043,"Grant Parish, LA",2022,8365,8076,289,3.5     
